pseudoprofile_id,predictor_path,predictor_path_canonical,criterion,criterion_leaf,criterion_path,mapping_score,hyde_score_scaled,fused_score
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,950.0,,950.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills','[PSYCHO] / Skills_Libraries / Emotion_Regulation_and_Affect_Skills',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,940.0,,940.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,920.0,,920.0
pseudoprofile_FTC_ID029,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies','[BIO] / Somatic_and_Interventional / Brain_Stimulation_Therapies',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,900.0,,900.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems','[PSYCHO] / Measurement_Based_Care_and_Feedback / Measurement_and_Feedback_Systems',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,900.0,,900.0
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',psychological / environmental mastery / ability to manage environment / time management / *meeting deadlines,*meeting deadlines,psychological / environmental mastery / ability to manage environment / time management / *meeting deadlines,900.0,,900.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,900.0,,900.0
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,880.0,,880.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports','[PSYCHO] / Digital_and_Tech_Enabled_Solutions / Digital_Tools_and_Supports',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,880.0,,880.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,880.0,,880.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Humanistic_and_Experiential_Therapies > Emotion_Focused_Therapy','[PSYCHO] / Humanistic_and_Experiential_Therapies / Emotion_Focused_Therapy',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,860.0,,860.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,860.0,,860.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats','[PSYCHO] / Digital_and_Tech_Enabled_Solutions / Care_Delivery_Formats',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,860.0,,860.0
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,860.0,,860.0
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',psychological / environmental mastery / ability to manage environment / time management / *meeting deadlines,*meeting deadlines,psychological / environmental mastery / ability to manage environment / time management / *meeting deadlines,850.0,,850.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning','[PSYCHO] / Foundations_and_Common_Factors / Goals_Values_and_Maintenance_Planning',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,850.0,,850.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation','[PSYCHO] / Skills_Libraries / Stress_Management_and_Relaxation',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,850.0,,850.0
pseudoprofile_FTC_ID029,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Family',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,850.0,,850.0
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,840.0,,840.0
pseudoprofile_FTC_ID029,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Montages',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,830.0,,830.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training','[PSYCHO] / Cognitive_Behavioral_Therapies / Problem_Solving_Training',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,820.0,,820.0
pseudoprofile_FTC_ID029,'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy','[PSYCHO] / Brief_and_Motivational_Approaches / Solution_Focused_Brief_Therapy',emotional / negative emotions / *compulsion,*compulsion,emotional / negative emotions / *compulsion,820.0,,820.0
pseudoprofile_FTC_ID029,'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring','[BIO] / Personalization_and_Monitoring / Wearables_and_Home_Monitoring',psychological / temporal perspective / time management / scheduling / *allocating time efficiently,*allocating time efficiently,psychological / temporal perspective / time management / scheduling / *allocating time efficiently,820.0,,820.0
pseudoprofile_FTC_ID029,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies','[BIO] / Sleep_and_Circadian / Sleep_Devices_and_Technologies',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,820.0,,820.0
pseudoprofile_FTC_ID029,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Targets',personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,*self_critical_rumination,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,800.0,,800.0
