criterion_leaf,criterion_path,predictor_path,_mapping_score
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[BIO] > Environment_and_Exposure > Sensory_Environment',880.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',780.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',860.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',850.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[BIO] > Sleep_and_Circadian > Sleep_Environment',820.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',800.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',860.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',800.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',900.0
*anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',790.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',700.0
