mapping_predictor_path,mapping_predictor_path_canonical,n_matched_hyde_leaves,matched_hyde_leaves_joined
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities','[BIO] / Movement_and_Bodywork / Aerobic_Movement_Modalities',0,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities','[BIO] / Movement_and_Bodywork / Balance_and_Coordination_Modalities',0,
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies','[BIO] / Movement_and_Bodywork / Bodywork_and_Physical_Therapies',0,
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities','[BIO] / Movement_and_Bodywork / Mobility_MindBody_and_Somatic_Modalities',0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities','[BIO] / Movement_and_Bodywork / Strength_and_Resistance_Modalities',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Family',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Montages',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Family',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Targets',0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes','[BIO] / Sleep_and_Circadian / Sleep_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies','[BIO] / Somatic_and_Interventional / Brain_Stimulation_Therapies',0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy','[PSYCHO] / Brief_and_Motivational_Approaches / Solution_Focused_Brief_Therapy',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',0,
'[PSYCHO] > Humanistic_and_Experiential_Therapies > Emotion_Focused_Therapy','[PSYCHO] / Humanistic_and_Experiential_Therapies / Emotion_Focused_Therapy',0,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills','[PSYCHO] / Skills_Libraries / Emotion_Regulation_and_Affect_Skills',0,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation','[PSYCHO] / Skills_Libraries / Stress_Management_and_Relaxation',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',0,
