pseudoprofile_id,predictor_path,predictor_path_canonical,criterion,criterion_leaf,criterion_path,mapping_score,hyde_score_scaled,fused_score
pseudoprofile_FTC_ID036,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills','[PSYCHO] / Skills_Libraries / Emotion_Regulation_and_Affect_Skills',emotional / negative emotions / *embarrassment,*embarrassment,emotional / negative emotions / *embarrassment,940.0,,940.0
pseudoprofile_FTC_ID036,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',emotional / negative emotions / *embarrassment,*embarrassment,emotional / negative emotions / *embarrassment,920.0,,920.0
pseudoprofile_FTC_ID036,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Family',infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,900.0,,900.0
pseudoprofile_FTC_ID036,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies','[BIO] / Somatic_and_Interventional / Brain_Stimulation_Therapies',infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,900.0,,900.0
pseudoprofile_FTC_ID036,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Family',infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,900.0,,900.0
pseudoprofile_FTC_ID036,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities','[BIO] / Movement_and_Bodywork / Aerobic_Movement_Modalities',infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,900.0,,900.0
pseudoprofile_FTC_ID036,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Targets',infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,880.0,,880.0
pseudoprofile_FTC_ID036,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',emotional / negative emotions / *embarrassment,*embarrassment,emotional / negative emotions / *embarrassment,880.0,,880.0
pseudoprofile_FTC_ID036,'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities','[BIO] / Movement_and_Bodywork / Balance_and_Coordination_Modalities',infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,880.0,,880.0
pseudoprofile_FTC_ID036,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',emotional / negative emotions / *embarrassment,*embarrassment,emotional / negative emotions / *embarrassment,880.0,,880.0
