pseudoprofile_id,part,criterion_path,criterion_leaf,rank,predictor_path,relevance_score
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,1,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',940.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,2,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',920.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,3,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,4,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',880.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,5,'[PSYCHO] > Humanistic_and_Experiential_Therapies > Emotion_Focused_Therapy',860.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,6,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',860.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,7,'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',850.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,8,'[BIO] > Sleep_and_Circadian > Sleep_Environment',840.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,9,'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy',820.0
pseudoprofile_FTC_ID036,post_per_criterion,emotional / negative emotions / *embarrassment,*embarrassment,10,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',800.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,1,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',900.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,2,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,3,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',900.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,4,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',900.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,5,'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',880.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,6,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',880.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,7,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',850.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,8,'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',850.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,9,'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',840.0
pseudoprofile_FTC_ID036,post_per_criterion,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging,*spontaneous_shrugging,10,'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',800.0
